1970,George C. Scott,Patton,43
1971,Gene Hackman,The French Connection,40
1972,Marlon Brando,The Godfather,48
1973,Jack Lemmon,Save the Tiger,48
1974,Art Carney,Harry and Tonto,56
1975,Jack Nicholson,One Flew over the Cuckoo's Nest,38
1976,Peter Finch,Network,60
1977,Richard Dreyfuss,The Goodbye Girl,32
1978,Jon Voight,Coming Home,40
1979,Dustin Hoffman,Kramer vs. Kramer,42
1980,Robert De Niro,Raging Bull,37
1981,Henry Fonda,On Golden Pond,76
1982,Ben Kingsley,Gandhi,39
1983,Robert Duvall,Tender Mercies,55
1984,F. Murray Abraham,Amadeus,45
1985,William Hurt,Kiss of the Spider Woman,35
1986,Paul Newman,The Color of Money,61
1987,Michael Douglas,Wall Street,33
1988,Dustin Hoffman,Rain Man,51
1989,Daniel Day-Lewis,My Left Foot,32
1990,Jeremy Irons,Reversal of Fortune,43
1991,Anthony Hopkins,The Silence of the Lambs,55
1992,Al Pacino,Scent of a Woman,42
1993,Tom Hanks,Philadelphia,37
1994,Tom Hanks,Forrest Gump,38
1995,Nicolas Cage,Leaving Las Vegas,31
1996,Geoffrey Rush,Shine,45
1997,Jack Nicholson,As Good As it Gets,60
1998,Roberto Benigni,Life is Beautiful,46
1999,Kevin Spacey,American Beauty,40
2000,Russell Crowe,Gladiator,36
2001,Denzel Washington,Training Day,47